id;state;delivered_date;final_delivered_date;amount_paid;full_payment
1;IN_CHARGE;2020-08-15;2020-08-14;80617;93176
2;DELIVERED;2020-08-15;2020-08-15;59852;52778
3;SHIPPED;2020-08-14;2020-08-15;15482;5554
4;IN_CHARGE;2020-08-15;2020-08-15;23652;62164
5;IN_CHARGE;2020-08-15;2020-08-15;63074;44049
6;IN_CHARGE;2020-08-15;2020-08-15;28495;84590
7;IN_CHARGE;2020-08-14;2020-08-15;64113;49013
8;SHIPPED;2020-08-15;2020-08-15;86869;84797
9;IN_CHARGE;2020-08-15;2020-08-15;51838;74410
10;IN_CHARGE;2020-08-15;2020-08-15;69801;27686
